task_id,splitter,max_depth,dataset,mean_accuracy, std_accuracy,n_fold
10093,best,1,banknote-authentication,0.8528086321802603,0.03685986229228596,0.8260869565217391|0.8260869565217391|0.8394160583941606|0.8102189781021898|0.9124087591240876|0.8978102189781022|0.8905109489051095|0.8832116788321168|0.8102189781021898|0.8321167883211679
10093,best,5,banknote-authentication,0.9723103776578863,0.013348969265124695,0.9565217391304348|0.9782608695652174|0.9708029197080292|0.9635036496350365|0.9781021897810219|0.9708029197080292|0.9708029197080292|0.9927007299270073|0.9927007299270073|0.948905109489051
10093,best,10,banknote-authentication,0.9876176875066116,0.009802605547262795,0.9855072463768116|0.9782608695652174|0.9854014598540146|0.9854014598540146|1.0|0.9781021897810219|0.9927007299270073|1.0|1.0|0.9708029197080292
10093,best,15,banknote-authentication,0.9861525441658733,0.011044482821331216,0.9855072463768116|0.9855072463768116|0.9781021897810219|0.9781021897810219|1.0|0.9708029197080292|0.9927007299270073|1.0|1.0|0.9708029197080292
10093,random,1,banknote-authentication,0.7463821009203427,0.02383218517486535,0.7463768115942029|0.7101449275362319|0.7445255474452555|0.7007299270072993|0.7518248175182481|0.7591240875912408|0.7883211678832117|0.7591240875912408|0.7445255474452555|0.7591240875912408
10093,random,5,banknote-authentication,0.9416746006558766,0.009313061496350064,0.9492753623188406|0.9565217391304348|0.9416058394160584|0.9343065693430657|0.9416058394160584|0.927007299270073|0.9562043795620438|0.9416058394160584|0.9343065693430657|0.9343065693430657
10093,random,10,banknote-authentication,0.96866074262139,0.017274865484796967,0.9565217391304348|0.9782608695652174|0.9562043795620438|0.948905109489051|1.0|0.9781021897810219|0.9781021897810219|0.9416058394160584|0.9635036496350365|0.9854014598540146
10093,random,15,banknote-authentication,0.9883317465354914,0.009344375715930758,0.9855072463768116|1.0|0.9781021897810219|0.9781021897810219|1.0|0.9781021897810219|0.9927007299270073|1.0|0.9781021897810219|0.9927007299270073
10093,second_best,1,banknote-authentication,0.8506294298106422,0.03829798676077491,0.8188405797101449|0.8188405797101449|0.8321167883211679|0.8102189781021898|0.9124087591240876|0.8978102189781022|0.8905109489051095|0.8832116788321168|0.8102189781021898|0.8321167883211679
10093,second_best,5,banknote-authentication,0.9708399449910082,0.01263991917717344,0.9637681159420289|0.9855072463768116|0.9562043795620438|0.9635036496350365|0.9562043795620438|0.9927007299270073|0.9781021897810219|0.9781021897810219|0.9781021897810219|0.9562043795620438
10093,second_best,10,banknote-authentication,0.9897968898762297,0.00483552324853758,0.9927536231884058|0.9855072463768116|0.9927007299270073|0.9781021897810219|0.9927007299270073|0.9854014598540146|0.9927007299270073|0.9927007299270073|0.9927007299270073|0.9927007299270073
10093,second_best,15,banknote-authentication,0.9868930498254521,0.007816536032636913,0.9710144927536232|0.9855072463768116|0.9854014598540146|0.9781021897810219|0.9927007299270073|0.9927007299270073|1.0|0.9927007299270073|0.9854014598540146|0.9854014598540146
10093,worst,1,banknote-authentication,0.5553898233365069,0.0012905955781233659,0.5579710144927537|0.5579710144927537|0.5547445255474452|0.5547445255474452|0.5547445255474452|0.5547445255474452|0.5547445255474452|0.5547445255474452|0.5547445255474452|0.5547445255474452
10093,worst,5,banknote-authentication,0.558309531365704,0.004619565548589251,0.5579710144927537|0.5579710144927537|0.5547445255474452|0.5620437956204379|0.5547445255474452|0.5693430656934306|0.5547445255474452|0.5547445255474452|0.5547445255474452|0.5620437956204379
10093,worst,10,banknote-authentication,0.5874854543531155,0.021196581019486297,0.5942028985507246|0.5507246376811594|0.5620437956204379|0.5693430656934306|0.5985401459854015|0.6058394160583942|0.6131386861313869|0.6058394160583942|0.6058394160583942|0.5693430656934306
10093,worst,15,banknote-authentication,0.6515973764942347,0.025509630344927328,0.644927536231884|0.6666666666666666|0.6642335766423357|0.6204379562043796|0.6496350364963503|0.6642335766423357|0.6934306569343066|0.6204379562043796|0.6788321167883211|0.6131386861313869
125920,best,1,dresses-sales,0.632,0.05455272678794341,0.56|0.72|0.62|0.64|0.7|0.58|0.66|0.68|0.56|0.6
125920,best,5,dresses-sales,0.588,0.04915282290977803,0.54|0.54|0.54|0.6|0.68|0.6|0.64|0.54|0.56|0.64
125920,best,10,dresses-sales,0.556,0.035552777669262334,0.52|0.52|0.52|0.54|0.62|0.58|0.6|0.56|0.52|0.58
125920,best,15,dresses-sales,0.562,0.06954135460285484,0.56|0.5|0.48|0.58|0.56|0.58|0.72|0.6|0.46|0.58
125920,random,1,dresses-sales,0.632,0.05455272678794341,0.56|0.72|0.62|0.64|0.7|0.58|0.66|0.68|0.56|0.6
125920,random,5,dresses-sales,0.594,0.06696267617113282,0.54|0.54|0.54|0.6|0.68|0.6|0.72|0.54|0.52|0.66
125920,random,10,dresses-sales,0.5700000000000001,0.07,0.44|0.48|0.56|0.54|0.54|0.66|0.66|0.58|0.6|0.64
125920,random,15,dresses-sales,0.5260000000000001,0.04565084884205332,0.46|0.54|0.46|0.5|0.56|0.6|0.56|0.54|0.48|0.56
125920,second_best,1,dresses-sales,0.608,0.043081318457076016,0.64|0.6|0.6|0.56|0.6|0.54|0.58|0.62|0.64|0.7
125920,second_best,5,dresses-sales,0.58,0.04732863826479691,0.46|0.6|0.56|0.56|0.6|0.6|0.62|0.56|0.6|0.64
125920,second_best,10,dresses-sales,0.556,0.061838499334961224,0.44|0.64|0.6|0.52|0.58|0.56|0.58|0.62|0.46|0.56
125920,second_best,15,dresses-sales,0.56,0.07848566748139434,0.48|0.76|0.48|0.56|0.56|0.58|0.6|0.56|0.48|0.54
125920,worst,1,dresses-sales,0.58,0.0,0.58|0.58|0.58|0.58|0.58|0.58|0.58|0.58|0.58|0.58
125920,worst,5,dresses-sales,0.5820000000000001,0.006000000000000006,0.58|0.58|0.58|0.58|0.58|0.58|0.6|0.58|0.58|0.58
125920,worst,10,dresses-sales,0.538,0.04770744176750625,0.52|0.58|0.64|0.5|0.54|0.58|0.48|0.52|0.54|0.48
125920,worst,15,dresses-sales,0.5360000000000001,0.10910545357588686,0.56|0.48|0.7|0.5|0.4|0.68|0.42|0.66|0.4|0.56
